question_english,disease_english,drug_english,treatment_english,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
What is estrogen-progesterone therapy?,,,Estrogen-Progesterone Therapy,ఈస్ట్రోజెన్-ప్రొజెస్టెరాన్ థెరపీ అంటే ఏమిటి?,,,ఈస్ట్రోజెన్-ప్రొజెస్టెరాన్ థెరపీ,এস্ট্রোজেন-প্রোজেস্টেরন থেরাপি কী?,,,এস্ট্রোজেনপ্রোজেস্টেরন থেরাপি,एस्ट्रोजन-प्रोजेस्टेरोन थेरेपी क्या है?,,,एस्ट्रोजन-प्रोजेस्टेरोन थेरेपी,ஈஸ்ட்ரோஜன்-புரோஜெஸ்ட்டிரோன் சிகிச்சை என்றால் என்ன?,,,ஈஸ்ட்ரோஜன்-புரோஜெஸ்ட்டிரோன்,इस्ट्रोजेन-प्रोजेस्टेरॉन थेरपी म्हणजे काय?,,,इस्ट्रोजेन-प्रोजेस्टेरॉन थेरपी,એસ્ટ્રોજન-પ્રોજેસ્ટેરોન ઉપચાર શું છે?,,,એસ્ટ્રોજન-પ્રોજેસ્ટેરોન ઉપચાર,treatment
Is Just Tears Eye Drop bad?,,Just Tears Eye Drop,,జస్ట్ టియర్స్ ఐ డ్రాప్ చెడ్డదా?,,జస్ట్ టియర్స్ ఐ డ్రాప్,,জাস্ট টিয়ার্স আই ড্রপ কি খারাপ?,,জাস্ট টিয়ার্স আই ড্রপ,,क्या जस्ट टीयर्स आई ड्रॉप खराब है?,,जस्ट टीयर्स आई ड्रॉप,,கண்ணீர் கண் துளி மோசமாக இருக்கிறதா?,,கண்ணீர் கண் துளி,,फक्त अश्रू आय ड्रॉप वाईट आहे?,,अश्रू आय ड्रॉप,,શું ફક્ત ટીયર આઇ ડ્રોપ ખરાબ છે?,,ફક્ત ટીયર આઇ ડ્રોપ,,drug
What are the causes of vertigo?,vertigo,,,వెర్టిగోకు కారణాలు ఏమిటి?,వెర్టిగో,,,ভার্টিগো কী কী কারণে হয়?,ভার্টিগো,,,वर्टिगो के कारण क्या हैं?,वर्टिगो,,,வெர்டிகோவின் காரணங்கள் என்ன?,வெர்டிகோ,,,चक्कर येण्याची कारणे काय आहेत?,चक्कर,,,વર્ટિગોના કારણો શું છે?,વર્ટિગોના,,,disease
Is depression an illness or a state of mind?,depression,,,డిప్రెషన్ అనేది అనారోగ్యమా లేక మానసిక స్థితినా?,డిప్రెషన్,,,বিষণ্নতা একটি অসুস্থতা বা মনের অবস্থা?,বিষণ্নতা,,,अवसाद एक बीमारी है या मन की स्थिति?,अवसाद,,,மனச்சோர்வு ஒரு நோய் அல்லது மனநிலையா?,மனச்சோர்வு,,,नैराश्य हा आजार आहे की मनाची अवस्था?,नैराश्य,,,ડિપ્રેશન એ બીમારી છે કે મનની સ્થિતિ?,ડિપ્રેશન,,,disease
How long does Ugesic Sublingual tablet work?,,Ugesic Sublingual Tablet,,ఉజెసిక్ సబ్లింగ్యువల్ మాత్ర ఎంతకాలం పనిచేస్తుంది?,,ఉజెసిక్ సబ్లింగ్యువల్ మాత్ర,,ইউজেসিক সাবলিঙ্গুয়াল ট্যাবলেট কতদিন কাজ করে?,,ইউজেসিক সাবলিঙ্গুয়াল,,यूजेसिक सबलिंगुअल टैबलेट कितने समय तक काम करता है?,,यूजेसिक सबलिंगुअल टैबलेट,,யுஜெசிக் சப்ளிங்குவல் டேப்லெட் எவ்வளவு காலம் வேலை செய்கிறது?,,யுஜெசிக் சப்ளிங்குவல் டேப்லெட்,,युजेसिक सब्लिंगयुअल गोळी किती काळ काम करते?,,युजेसिक सब्लिंगयुअल गोळी,,યુજેસિક સબલિંગ્યુઅલ ટીકડી કેટલો સમય કામ કરે છે?,,યુજેસિક સબલિંગ્યુઅલ ટીકડી,,drug
Why has my doctor asked me to get blood tests done?,,,blood tests,రక్త పరీక్షలు చేయించుకోమని నా డాక్టరు నన్ను ఎందుకు అడిగారు?,,,రక్త పరీక్ష,কেন আমার ডাক্তার আমাকে রক্ত পরীক্ষা করাতে বলেছেন?,,,রক্ত পরীক্ষা,मेरे डॉक्टर ने मुझे रक्त परीक्षण करवाने के लिए क्यों कहा है?,,,रक्त परिक्षण ,இரத்த பரிசோதனைகள் செய்ய என் மருத்துவர் ஏன் என்னிடம் கேட்டார்?,,,இரத்த பரிசோதனைகள்,माझ्या डॉक्टरांनी मला रक्त तपासणी करण्यास का सांगितले आहे?,,,रक्त तपासणी,શા માટે મારા ડૉક્ટરે મને બ્લડ ટેસ્ટ કરાવવાનું કહ્યું છે?,,,બ્લડ ટેસ્ટ,treatment
What if I vomit after taking Calpol 500mg Tablet?,vomit,Calpol 500mg Tablet,,క్యాల్పోల్ ౫౦౦మి.గ్రా మాత్రను తీసుకున్న తరువాత నేను వాంతి చేసుకుంటే ఏమిటి?,వాంతి,క్యాల్పోల్ ౫౦౦మి.గ్రా,,কালপোল ৫০০ মিলিগ্রাম খাওয়ার পর যদি আমার বমি হয় তাহলে কি হবে?,বমি,কালপোল ৫০০ মিলিগ্রাম,,क्या होगा यदि मुझे कैलपोल ५००एमजी टैबलेट लेने के बाद उल्टी हो जाती है?,उलटी ,कैलपोल ५००एमजी टैबलेट,,கல்போல் 500 எம்ஜி மாத்திரையை எடுத்த பிறகு நான் வாந்தியெடுத்தால் என்ன செய்வது?,வாந்தியெடுத்தால்,கல்போல் 500 எம்ஜி மாத்திரையை ,,कॅल्पोल ५०० गोळी घेतल्यानंतर उलट्या झाल्यास काय होईल?,उलट्या,कॅल्पोल 	५०० गोळी,,કેલ્પોલ ૫૦૦ મિલિગ્રામ ટીકડી લીધા પછી મને ઉલટી થાય તો શું?,ઉલટી,કેલ્પોલ ૫૦૦ મિલિગ્રામ ટીકડી,,drug
What is the pathophysiology of liver cirrhosis?,Liver cirrhosis,,,కాలేయ సిర్రోసిస్ యొక్క పాథోఫిజియాలజీ ఏమిటి?,కాలేయ సిర్రోసిస్,,,লিভার সিরোসিসের প্যাথোফিজিওলজি কী?,লিভার সিরোসিস,,,लिवर सिरोसिस का पैथोफिजियोलॉजी क्या है?,लिवर सिरोसिस,,,கல்லீரல் சிரோசிஸின் நோயியல் இயற்பியல் என்ன?,கல்லீரல் சிரோசிஸின் நோயியல்,,,यकृत सिरोसिसचे पॅथोफिजियोलॉजी काय आहे?,यकृताचा सिरोसिस,,,લીવર સિરોસિસનું પેથોફિઝિયોલોજી શું છે?,લીવર સિરોસિસ,,,disease
What is the recommended method of taking Jardiance 10mg Tablet?,,Jardiens 10mg Tablet,,జర్దియాన్సే ౧౦మిగ్రా మాత్ర తీసుకునే సిఫారసు చేయబడ్డ విధానం ఏమిటి?,,జర్దియాన్సే ౧౦మిగ్రా మాత్ర,,জারডায়ন্স ১০ মিলিগ্রাম ট্যাবলেট গ্রহণ করার প্রস্তাবিত পদ্ধতি কী?,,জারডায়ন্স ১০ মিলিগ্রাম,,जार्डिएंस १०एमजी टैबलेट लेने का अनुशंसित तरीका क्या है?,,जार्डिएंस १०एमजी टैबलेट,,ஜார்டியன்ஸ் 10 எம்ஜி மாத்திரையை எடுக்க பரிந்துரைக்கப்பட்ட முறை என்ன?,,ஜார்டியன்ஸ் 10 எம்ஜி மாத்திரையை,,जार्डीयेन्स  १० एमजी गोळी घेण्याची शिफारस केलेली पद्धत कोणती आहे?,,जार्डीयेन्स  १० एमजी गोळी,,જાર્ડિયન્સ ૧૦ મિલિગ્રામ ટીકડી લેવાની ભલામણ કરેલ પદ્ધતિ શું છે?,,જાર્ડિયન્સ ૧૦ મિલિગ્રામ ટીકડી,,drug
How do you stop a UTI when you feel it coming?,UTI,,,యుటిఐ వస్తున్నట్లు మీకు అనిపించినప్పుడు దాన్ని ఎలా ఆపాలి?,యుటిఐ,,,আপনি যখন মনে করেন যে আপনার ইউটিআই হতে পারে তখন আপনি কীভাবে তা বন্ধ করবেন?,ইউটিআই,,,जब यू टी आयी महसूस होने लगे  तो आप इसे कैसे रोकते हैं?,यू टी आयी,,,யுடிஐ வருவதை நீங்கள் உணரும்போது அதை எவ்வாறு நிறுத்துவது?,யுடிஐ,,,जेव्हा तुम्हाला मूत्रमार्गाचा संसर्ग येत आहे असे वाटते तेव्हा तुम्ही  ते  कसे थांबवाल?,मूत्रमार्गाचा संसर्ग,,,જ્યારે તમને લાગે કે યુટીઆઈ આવી રહી છે ત્યારે તમે તેને કેવી રીતે રોકશો?,યુટીઆઈ,,,treatment
What is Jigest 10mg Tablet used for?,,Jigest 10mg Tablet,,జిగేస్ట్ ౧౦మ్గ్  మాత్ర దేనికి ఉపయోగిస్తారు?,,జిగేస్ట్ ౧౦మ్గ్ మాత్ర,,জিগেস্ট ১০ মিলিগ্রাম ট্যাবলেট কী জন্য ব্যবহৃত হয়?,,জিগেস্ট ১০ মিলিগ্রাম,,जिजेस्ट १०एमजी टैबलेट के लिए क्या प्रयोग किया जाता है?,,जिजेस्ट १०एमजी टैबलेट,,ஜிகெஸ்ட் 10 எம்ஜி டேப்லெட் எதற்குப் பயன்படுத்தப்படுகிறது?,,ஜிகெஸ்ட் 10 எம்ஜி டேப்லெட்,,जिगेस्ट   १ ० एमजी गोळी  कशासाठी वापरले जाते?,,जिगेस्ट  १० एमजी गोळी,,જીજેસ્ટ ૧૦ મિલિગ્રામ ટીકડી નો ઉપયોગ શું છે?,,જીજેસ્ટ ૧૦ મિલિગ્રામ ટીકડી,,drug
Can the Ecosprin-AV 75 Capsule cause muscle pain?,muscle pain,Ecosprin-Av 75 Capsule,,ఎకోస్ప్రిన్-ఎవి ౭౫ క్యాప్సూల్  కండరాల నొప్పికి కారణమవుతుందా?,కండరాల నొప్పి,ఎకోస్ప్రిన్-ఎవి ౭౫ క్యాప్సూల్,,একোস্প্রিন-এভি ৭৫ ক্যাপসুল পেশী ব্যথা ঘটাতে পারে কি?,পেশী ব্যথা,একোস্প্রিনএভি ৭৫,,क्या इकोस्प्रिन-एवी ७५ कैप्सूल की वजह से मांसपेशियों में दर्द हो सकता है?,मांसपेशियों में दर्द,इकोस्प्रिन-एवी ७५ कैप्सूल,,ஈகோஸ்ப்ரின்-ஏவி 75 காப்ஸ்யூல் தசை வலியை ஏற்படுத்த முடியுமா?,தசை வலியை,ஈகோஸ்ப்ரின்-ஏவி 75 காப்ஸ்யூல்,,इकोस्प्रिन एवी ७५ कॅप्सूल मुळे स्नायू दुखू शकतात?,स्नायू दुखी,इकोस्प्रिन एवी ७५ कॅप्सूल,,શું ઇકોસ્પ્રિન-એવી ૭૫ કેપ્સ્યુલ સ્નાયુમાં દુખાવો કરી શકે છે?,સ્નાયુમાં દુખાવો,ઇકોસ્પ્રિન-એવી ૭૫ કેપ્સ્યુલ,,drug
What are the symptoms of high blood sugar?,High blood sugar,,,అధిక రక్తంలో చక్కెర యొక్క లక్షణాలు ఏమిటి?,రక్తంలో చక్కెర,,,রক্তে শর্করার উচ্চমাত্রার লক্ষণগুলি কী কী?,রক্তে শর্করার উচ্চমাত্রা,,,उच्च रक्त शर्करा के लक्षण क्या हैं?,उच्च रक्त शर्करा,,,உயர் இரத்த சர்க்கரையின் அறிகுறிகள் என்ன?,உயர் இரத்த சர்க்கரையின்,,,उच्च रक्तातील साखरेची लक्षणे काय आहेत?,उच्च रक्त साखर,,,હાઈ બ્લડ સુગરના લક્ષણો શું છે?,હાઈ બ્લડ સુગર,,,disease
Can I get hypothyroidism from my hyperthyroidism treatments?,Hypothyroidism,,hypothyroidism treatments,నా హైపర్ థైరాయిడిజం చికిత్సల నుండి నేను హైపోథైరాయిడిజం పొందవచ్చా?,హైపోథైరాయిడిజం,,హైపర్ థైరాయిడిజం చికిత్స,আমি কি আমার হাইপারথাইরয়েডিজম চিকিৎসা থেকে হাইপোথাইরয়েডিজম পেতে পারি?, হাইপোথাইরয়েডিজম ,,হাইপারথাইরয়েডিজম চিকিৎসা,क्या मुझे अपने हाइपरथायरायडिज्म उपचार से हाइपोथायरायडिज्म हो सकता है?,हाइपोथायरायडिज्म,,हाइपोथायरायडिज्म उपचार,எனது ஹைப்பர் தைராய்டிசம் சிகிச்சையிலிருந்து ஹைப்போ தைராய்டிசத்தைப் பெற முடியுமா?,ஹைப்பர் தைராய்டிசம்,,ஹைப்பர் தைராய்டிசம் சிகிச்சை,माझ्या हायपरथायरॉईडीझम उपचारांमुळे मला हायपोथायरॉईडीझम होऊ शकतो का?,हायपरथायरॉईडीझम,,हायपरथायरॉईडीझम उपचार,શું હું મારી હાઈપરથાઈરોઈડિઝમની સારવારથી હાઈપોથાઈરોડિઝમ મેળવી શકું?,હાઈપરથાઈરોઈડિઝમ,,હાઈપરથાઈરોઈડિઝમની સારવાર,treatment
What is the difference between Dolonex DT 20mg Tablet and tramadol?,,"Dolonex DT 20mg Tablet, Tramadol",,డొళొనెక్ష్ ట్ డిటి ౨౦మి.గ్రా మాత్ర మరియు ట్రామాడోల్ మధ్య తేడా ఏమిటి?,,"డొళొనెక్ష్ ట్ డిటి ౨౦మి.గ్రా మాత్ర, ట్రామాడోల్",,ডোলনেক্স ডট ২০ মিলিগ্রাম ট্যাবলেট এবং ট্রামাডল এর মধ্যে পার্থক্য কি?,,"ডোলনেক্স ডট ২০ মিলিগ্রাম, ট্রামাডল ",,डोलोनेक्स डीटी २०एमजी टैबलेट (Dolonex DT 20mg Tablet) और ट्रामाडोल के बीच क्या अंतर है?,,"डोलोनेक्स डीटी २०एमजी टैबलेट, ट्रामाडोल",,டோலோனெக்ஸ் டிடி 20 எம்ஜி டேப்லெட் மற்றும் டிராமடோல் ஆகியவற்றுக்கு என்ன வித்தியாசம்?,,"டோலோனெக்ஸ் டிடி 20 எம்ஜி டேப்லெட், டிராமடோல்",,डोलोनेक्स डीटी २० एमजी गोळी आणि ट्रॅमॅडॉलमध्ये काय फरक आहे?,,"डोलोनेक्स डीटी २० एमजी गोळी, ट्रॅमॅडॉलमध्ये",,ડોલોનેક્સ ડીટી ૨૦ મિલિગ્રામ ટીકડી અને ટ્રામાડોલ વચ્ચે શું તફાવત છે?,,ડોલોનેક્સ ડીટી ૨૦ મિલિગ્રામ ટીકડી,,drug
Can stress cause urticaria?,"urticaria, stress",,,ఒత్తిడి ఉర్టికేరియాకు కారణమవుతుందా?,"ఒత్తిడి, ఉర్టికేరియా",,,স্ট্রেস কি আমবাতের কারণ হতে পারে?,"আমবাত, স্ট্রেস",,,क्या तनाव पित्ती का कारण बन सकता है?,"पित्ती, तनाव",,,மன அழுத்தம் யூர்டிகேரியாவை ஏற்படுத்துமா?,"மன அழுத்தம், யூர்டிகேரியாவை",,,तणावामुळे शीत पित्त होऊ शकतो का?,"तणाव,शीत पित्त",,,શું તણાવ અિટકૅરીયાનું કારણ બની શકે છે?,"અિટકૅરીયાનું, તણાવ",,,disease
How long should laxatives be used for?,,laxatives,,భేదిమందులను ఎంతకాలం ఉపయోగించాలి?,,భేదిమందు,,রেচক কতক্ষণ ব্যবহার করা উচিত?,,রেচক,,रेचक का उपयोग कितने समय के लिए किया जाना चाहिए?,,रेचक,,மலமிளக்கியை எவ்வளவு காலம் பயன்படுத்த வேண்டும்?,,மலமிளக்கியை,,रेचक किती काळ वापरावे?,,रेचक,,રેચકનો ઉપયોગ કેટલા સમય માટે કરવો જોઈએ?,,રેચક,,drug
What are the instructions for the storage and disposal of Neosporin Skin Ointment?,,Neosporin Skin Ointment,,నియోస్పోరిన్ స్కిన్ లేపనం యొక్క నిల్వ మరియు పారవేయడం కొరకు సూచనలు ఏమిటి?,,నియోస్పోరిన్ స్కిన్ లేపనం,,নেওস্পোরিন স্কিন ওইন্টমেন্টের সংরক্ষণ এবং নিষ্পত্তির জন্য নির্দেশাবলী কী কী?,,নেওস্পোরিন স্কিন ওইন্টমেন্ট,,नियोस्पोरिन स्किन ऑइंटमेंट (Neosporin Skin Ointment) के भंडारण और निपटान के लिए क्या निर्देश हैं?,,नियोस्पोरिन स्किन ऑइंटमेंट,,நியோஸ்போரின் தோல் களிம்பின் சேமிப்பு மற்றும் அகற்றுவதற்கான வழிமுறைகள் யாவை?,,நியோஸ்போரின் தோல் களிம்பின்,,निओस्पोरिन स्किन मलम च्या साठवणेसाठी आणि विल्हेवाटीसाठी काय सूचना आहेत?,,निओस्पोरिन स्किन मलम,,નિયોસ્પોરિન ત્વચા મલમ ના સંગ્રહ અને નિકાલ માટેની સૂચનાઓ શું છે?,,નિયોસ્પોરિન ત્વચા મલમ,,drug
Does exercise help arthritis?,arthritis,,exercise,ఆర్థరైటిస్ కు వ్యాయామం సహాయపడుతుందా?,ఆర్థరైటిస్,,వ్యాయామం,ব্যায়াম কি আর্থ্রাইটিসে সাহায্য করে?,আর্থ্রাইটিস,,ব্যায়াম,क्या व्यायाम गठिया में मदद करता है?,गठिया,,व्यायाम,உடற்பயிற்சி கீல்வாதத்திற்கு உதவுமா?,கீல்வாதத்திற்கு,,உடற்பயிற்சி,व्यायामामुळे संधिवात मदत होते का?,संधिवात,,व्यायाम,શું કસરત સંધિવામાં મદદ કરે છે?,સંધિવા,,કસરત,disease
How long does it take for Vigore 50 Red Tablet to work?,,Vigor 50 Red Tablet,,విగోర్ ౫౦ రెడ్ మాత్ర పనిచేయడానికి ఎంత సమయం పడుతుంది?,,విగోర్ ౫౦ రెడ్ మాత్ర,,ভিগর ৫০ রেড ট্যাবলেট কাজ করতে কতক্ষণ সময় লাগে?,,ভিগর ৫০ রেড ট্যাবলেট,,विगोर ५० रेड टैबलेट (Vigore 50 Red Tablet) को काम करने में कितना समय लगता है?,,विगोर ५० रेड टैबलेट,,வைடோர் 50 சிவப்பு டேப்லெட் வேலை செய்ய எவ்வளவு நேரம் ஆகும்?,,வைடோர் 50 சிவப்பு டேப்லெட்,,विगोरे ५० रेड गोळी साठी किती वेळ लागेल?,,विगोरे 	५० रेड गोळी,,વિગોર ૫૦ રેડ ટીકડી ને કામ કરવામાં કેટલો સમય લાગે છે?,,વિગોર ૫૦ રેડ ટીકડી,,drug
What are the side effects of Ketoford 2% Cream?,,Ketoford 2% Cream,,కీటోఫోర్డ్ ౨% క్రీమ్ యొక్క దుష్ప్రభావాలు ఏమిటి?,,కీటోఫోర్డ్ ౨% క్రీమ్,,কেতফোর্ড ২% ক্রিমের পার্শ্ব প্রতিক্রিয়া কী?,,কেতফোর্ড ২% ক্রিম,,केटोफोर्ड २% क्रीम के दुष्प्रभाव क्या हैं?,,केटोफोर्ड २% क्रीम,,கெட்டோஃபோர்டு 2% கிரீம் பக்க விளைவுகள் என்ன?,,கெட்டோஃபோர்டு 2% கிரீம்,,केटोफोर्ड  २%  क्रीमचा मूत्रपिंडांवरील परिणाम काय आहे?,,केटोफोर्ड  २%  क्रीम,,કેટોફોર્ડ ૨% ક્રીમ ની આડ અસરો શી છે?,,કેટોફોર્ડ ૨% ક્રીમ,,drug
What does Buscopan 20mg Injection treat and how does it work?,,Buscopan 20mg Injection,,బస్కోపాన్ ౨౦ మిగ్రా ఇంజెక్షన్ దేనికి చికిత్స చేస్తుంది మరియు అది ఎలా పని చేస్తుంది?,,బస్కోపాన్ ౨౦ మిగ్రా ఇంజెక్షన్,,বাসকোপান ২০ মিলিগ্রাম ইঞ্জেকশন কী চিকিৎসা করে এবং কিভাবে এটি কাজ করে?,,বাসকোপান ২০ মিলিগ্রাম ইঞ্জেকশন,,बुस्कोपन २०एमजी इंजेक्शन क्या इलाज  करता है और यह कैसे काम करता है?,,बुस्कोपन २०एमजी इंजेक्शन,,"புஸ்கோபன் 20 மி.கி ஊசி என்ன சிகிச்சை அளிக்கிறது, அது எவ்வாறு இயங்குகிறது?",,புஸ்கோபன் 20 மி.கி ஊசி,,बुस्कोपन २० एमजी इंजेक्शनकाय उपचार करते आणि ते कसे कार्य करते?,,बुस्कोपन २० एमजी इंजेक्शन,,બસકોપન ૨૦ મિલિગ્રામ ઇન્જેક્શન શું સારવાર કરે છે અને તે કેવી રીતે કામ કરે છે?,,બસકોપન ૨૦ મિલિગ્રામ ઇન્જેક્શન,,drug
What are the warning signs of a stroke?,stroke,,,స్ట్రోక్ యొక్క హెచ్చరిక సంకేతాలు ఏమిటి?,స్ట్రోక్,,,স্ট্রোকের সতর্কতামূলক লক্ষণগুলি কী কী?,স্ট্রোক,,,स्ट्रोक के चेतावनी संकेत क्या हैं?,स्ट्रोक,,,பக்கவாதத்தின் எச்சரிக்கை அறிகுறிகள் யாவை?,பக்கவாதத்தின்,,,स्ट्रोकची चेतावणी चिन्हे काय आहेत?,स्ट्रोक,,,સ્ટ્રોકના ચેતવણી ચિહ્નો શું છે?,સ્ટ્રોક,,,disease
Is spondylosis curable?,spondylosis,,,స్పాండిలోసిస్ నయం చేయదగినదా?,స్పాండిలోసిస్,,,স্পন্ডিলোসিস কি সারিয়ে তোলা যায়?,স্পন্ডিলোসিস,,,क्या स्पॉन्डिलोसिस इलाज योग्य है?,स्पॉन्डिलोसिस,,,ஸ்போண்டிலோசிஸ் குணப்படுத்தக்கூடியதா?,ஸ்போண்டிலோசிஸ்,,,स्पॉन्डिलोसिस बरा होऊ शकतो का?,स्पॉन्डिलोसिस,,,શું સ્પોન્ડિલોસિસ સાધ્ય છે?,સ્પોન્ડિલોસિસ,,,disease
Will Enzar Forte  Tablet be more effective if taken in more than recommended dose?,,Enzar Forte Tablet,,ఎన్సార్ ఫార్ట్య్ మాత్రను  సిఫారసు చేసిన మోతాదు కంటే ఎక్కువ తీసుకుంటే మరింత ప్రభావవంతంగా ఉంటుంది?,,ఎన్సార్ ఫార్ట్య్ మాత్ర,,এনজার ফর্টে ট্যাবলেট যদি নির্ধারিত ডোজের চেয়ে বেশি মাত্রায় নেওয়া হয় তবে এটি কি আরও কার্যকর হবে?,,এনজার ফর্টে,,यदि अनुशंसित खुराक से अधिक मात्रा में लिया जाए तो क्या एन्ज़र फोर्ट टैबलेट अधिक प्रभावी होगा?,,एन्ज़र फोर्ट टैबलेट,,பரிந்துரைக்கப்பட்ட அளவை விட அதிகமாக எடுத்துக் கொண்டால் என்ஸார் ஃபோர்டே மாத்திரைமிகவும் பயனுள்ளதாக இருக்கும்?,,என்ஸார் ஃபோர்டே மாத்திரைமிகவும் ,,एंझार फोर्टे टॅबलेट आधीपेक्षा जास्त डोस घेतल्यासअधिक प्रभावी होईल का?,,एंझार  फोर्टे  टॅबलेट,,જો ભલામણ કરતાં વધુ માત્રામાં લેવામાં આવે તો શું એન્ઝાર ફોર્ટ ટીકડી વધુ અસરકારક રહેશે?,,એન્ઝાર ફોર્ટ ટીકડી,,drug
I have started using Keraglo - AD Anti-Dandruff Shampoo. By when can I expect to start seeing the improvements?,,Keraglo - AD Anti-Dandruff Shampoo,,నేను కెరగ్లో - ఏడి యాంటీ డాండ్రఫ్ షాంపూని ఉపయోగించడం ప్రారంభించాను. నేను ఎప్పటికి మెరుగుదలను చూడగలనని ఆశించగలను?,,కెరగ్లో - ఏడి యాంటీ డాండ్రఫ్ షాంపూ,,আমি কেরাগলো এন্টি-খুশকি শ্যাম্পু ব্যবহার শুরু করেছি। কখন আমি উন্নতি দেখতে পেতে পারি?,,কেরাগলো এন্টি-খুশকি শ্যাম্পু,,मैंने केराग्लो - एडी एंटी-डैंड्रफ शैम्पू (Keraglo) का प्रयोग करना शुरू कर दिया है। कब  तक मैं सुधार देखना शुरू करने की उम्मीद कर सकता हूँ ?,,केराग्लो - एडी एंटी-डैंड्रफ शैम्पू,,நான் கெராக்லோ - கி.பி. எதிர்ப்பு பொடுகு ஷாம்பூவைப் பயன்படுத்தத் தொடங்கினேன். மேம்பாடுகளைப் பார்க்க நான் எப்போது எதிர்பார்க்கலாம்?,,கெராக்லோ - கி.பி. எதிர்ப்பு பொடுகு,,मी केराग्लो - एडी अँटी-डँड्रफ शैम्पू वापरण्यास सुरुवात केली आहे. मी कधीपर्यंत सुधारणा पाहणे सुरू करण्याची अपेक्षा करू शकतो?,,केराग्लो - एडी अँटी-डँड्रफ शैम्पू,,મેં કેરાગ્લો - એડી એન્ટિ-ડેન્ડ્રફ શેમ્પૂનો ઉપયોગ કરવાનું શરૂ કર્યું છે. હું ક્યારે સુધારાઓ જોવાનું શરૂ કરવાની અપેક્ષા રાખી શકું?,,કેરાગ્લો - એડી એન્ટિ-ડેન્ડ્રફ શેમ્પૂ,,other
What are the serious side effects of Famocid 40 Tablet?,,Famocid 40 Tablet,,ఫామోసిడ్ నాలుగు యొక్క తీవ్రమైన దుష్ప్రభావాలు ఏమిటి?,,ఫామోసిడ్,,ফামওসিড ৪০ ট্যাবলেটের গুরুতর পার্শ্ব প্রতিক্রিয়া কী?,,ফামওসিড ৪০,,फैमोसिड ४० टैबलेट के गंभीर दुष्प्रभाव क्या हैं?,,फैमोसिड ४० टैबलेट,,ஃபமோசிட் 40 மாத்திரையின் கடுமையான பக்க விளைவுகள் என்ன?,,ஃபமோசிட் 40 மாத்திரையின் ,,फॅमोसिड ४० गोळी चे गंभीर दुष्परिणाम काय आहेत?,,फॅमोसिड ४० गोळी,,ફેમોસીડ ૪૦ ટીકડી ની ગંભીર આડ અસરો શું છે?,,ફેમોસીડ ૪૦ ટીકડી,,drug
Is tuberculosis deadly?,tuberculosis,,,క్షయవ్యాధి ప్రాణాంతకమా?,క్షయవ్యాధి,,,যক্ষ্মা কি প্রাণনাশক?,যক্ষ্মা,,,क्या तपेदिक घातक है?,यक्ष्मा,,,காசநோய் கொடியதா?,காசநோய்,,,क्षयरोग प्राणघातक आहे का?,क्षयरोग,,,શું ક્ષય રોગ જીવલેણ છે?,ક્ષય,,,disease
I have been prescribed Gabapin 100 Tablet for pain. When will I start feeling better?,pain,Gabapin 100 Tablet,,నొప్పి కొరకు గబాపిన్ ౧౦౦ మాత్రను  నాకు సిఫారసు చేయబడింది. నేను ఎప్పుడు మంచి అనుభూతి చెందడం ప్రారంభిస్తాను?,నొప్పి,గబాపిన్ ౧౦౦ మాత్ర,,আমাকে ব্যথার জন্য গাবাপিন ১০০ ট্যাবলেট নির্ধারিত করা হয়েছে। কখন আমি সুস্থ বোধ করতে শুরু করব?, ব্যথা,গাবাপিন ১০০,,मुझे दर्द के लिए गाबापिन १०० टैबलेट लेने की सलाह दी गई है. मैं कब बेहतर महसूस करना शुरू करूंगा?,दर्द,गाबापिन १०० टैबलेट,,வலி க்கு கபாபின் 100 மாத்திரை எனக்கு பரிந்துரைக்கப்பட்டுள்ளது. நான் எப்போது நன்றாக உணர ஆரம்பிப்பேன்?,வலி,கபாபின் 100 மாத்திரை ,,मला वेदना साठी गॅबॅपिन १०० गोळी लिहून दिले आहे. मला कधी बरे वाटू लागेल?,वेदना,गॅबॅपिन १०० गोळी,,મને પીડા માટે ગાબાપીન ૧૦૦ ટીકડી લખવામાં આવી છે. હું ક્યારે સારું અનુભવવાનું શરૂ કરીશ?,પીડા,ગાબાપીન ૧૦૦ ટીકડી,,drug
