question_english,disease_english,drug_english,treatment_english,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
can a person who has a stye go swimming in a pool,stye,,,क्या कोई व्यक्ति जिसे स्टाई है वह पूल में तैरने जा सकता है,स्टाई,,,একজন ব্যক্তি যার স্টাই রয়েছে সে কি একটি পুলে সাঁতার কাটতে যেতে পারে?,স্টাই,,,ஒரு ஸ்டை கொண்ட ஒரு நபர் ஒரு குளத்தில் நீந்த முடியுமா?,ஸ்டை,,,స్టై ఉన్న వ్యక్తి ఒక కొలనులో ఈత కొట్టడానికి వెళ్ళవచ్చా?,స్టై,,,स्टाई असलेली व्यक्ती तलावात पोहायला जाऊ शकते का?,स्टाई,,,શું સ્ટાઈ ધરાવતી વ્યક્તિ પૂલમાં સ્વિમિંગ કરી શકે છે,stye,,,disease
will alpralozam show up in your urine 30 min after orally taking a xanax,,"alprazolam, xanax",,अल्फ्रालॉजम मौखिक रूप से एक क्सानॉक्स लेने के बाद ३०   मिनट में आपके मूत्र में दिखाई देगा?,,"अल्फ्रालॉजम, क्सानॉक्स ",,মৌখিকভাবে একটি জ্যানাক্স গ্রহণ করার ৩০ মিনিট পরে আলপ্রালোজাম আপনার প্রস্রাবে প্রদর্শিত হবে?,,"জ্যানাক্স, আলপ্রালোজাম ",,வாய்வழியாக ஒரு சானாக்ஸ் எடுத்த பிறகு 30 நிமிடங்களுக்குப் பிறகு அல்ப்ராலோசம் உங்கள் சிறுநீரில் காண்பிக்கப்படும்,,"சானாக்ஸ், அல்ப்ராலோசம்",,నోటి ద్వారా క్సానాక్స్ తీసుకున్న ౩౦ నిమిషాల తరువాత మీ మూత్రంలో ఆల్ప్రలోజమ్ కనిపిస్తుందా?,,"ఆల్ప్రలోజమ్, క్సానాక్స్",,तोंडी झानेक्स घेतल्यानंतर ३० मिनिटांनी तुमच्या लघवीमध्ये आलप्रालोझाम दिसून येईल,,"आलप्रालोझाम,झानेक्स",,મૌખિક રીતે ઝેનાક્સ લીધા પછી ૩૦ મિનિટ પછી તમારા પેશાબમાં અલ્પ્રોલોઝમ દેખાશે,,"અલ્પ્રાઝોલમ, ઝેનાક્સ",,drug
can i go out in the sun while taking 875 mg dose of amoxicillin?,,875 mg dose of amoxicillin,,क्या मैं एमोक्सिसिलिन की ८७५  मिलीग्राम खुराक लेते समय धूप में बाहर जा सकता हूं?,,एमोक्सिसिलिन की ८७५ मिलीग्राम खुराक,,অ্যামোক্সিসিলিনের ৮৭৫ মিলিগ্রাম ডোজ নেওয়ার সময় আমি কি রোদে যেতে পারি?,,অ্যামোক্সিসিলিনের ৮৭৫,,875 மி.கி டோஸ் அமோக்ஸிசிலின் எடுக்கும்போது நான் வெயிலில் வெளியே செல்லலாமா?,,875 மி.கி டோஸ் அமோக்ஸிசிலின்,,౮౭౫మిగ్రా మోతాదులో అమోక్సిసిలిన్ తీసుకునేటప్పుడు నేను ఎండలో బయటకు వెళ్లవచ్చా?,,అమోక్సిసిలిన్ ౮౭౫మిగ్రా ,,अमोक्सिसिलिनचा ८७५  मिलीग्राम डोस घेत असताना मी उन्हात बाहेर जाऊ शकतो का?,,,८७५  मिलीग्राम डोस अमोक्सिसिलिनचा,એમોક્સિસિલિનનો ૮૭૫ મિલિગ્રામ ડોઝ લેતી વખતે શું હું તડકામાં બહાર જઈ શકું?,,એમોક્સિસિલિનની ૮૭૫ મિલિગ્રામ માત્રા,,drug
how many days a week should i exercise?,,,exercise,सप्ताह में कितने दिन मुझे व्यायाम करना चाहिए?,,,व्यायाम ,সপ্তাহে কত দিন ব্যায়াম করা উচিত?,,,ব্যায়াম,வாரத்தில் எத்தனை நாட்கள் நான் உடற்பயிற்சி செய்ய வேண்டும்?,,,உடற்பயிற்சி ,నేను వారానికి ఎన్ని రోజులు వ్యాయామం చేయాలి?,,,వ్యాయామం,मी आठवड्यातून किती दिवस व्यायाम करावा?,,,व्यायाम,મારે અઠવાડિયામાં કેટલા દિવસ કસરત કરવી જોઈએ?,,,કસરત,other
i need to buy health insurance asap. what do i do? where do i go?,,,,मुझे स्वास्थ्य बीमा तुरंत खरीदने की जरूरत है. मुझे क्या करना चाहिए ? मैं कहाँ जाऊँ?,,,,আমাকে অতি শীঘ্র স্বাস্থ্য বীমা কিনতে হবে। আমি কী করব? কোথায় যাব?,,,,நான் விரைவில் சுகாதார காப்பீடு வாங்க வேண்டும். நான் என்ன செய்வது? நான் எங்கு செல்ல வேண்டும்?,,,,నేను ఆరోగ్య బీమాను కొనుగోలు చేయాల్సి ఉంటుంది. నేను ఏమి చేయను? నేను ఎక్కడికి వెళ్ళాలి?,,,,मला लवकरात लवकर आरोग्य विमा खरेदी करायचा आहे. मी काय करू? मी कुठे जाऊ?,,,,મારે જલદી આરોગ્ય વીમો ખરીદવાની જરૂર છે. હું શું કરું? હું ક્યાં જાઉં?,,,,other
can vulvar cancer lead to breast cancer?,"Vulvar cancer, breast cancer ",,,क्या वुल्वर कैंसर से स्तन कैंसर हो सकता है?,"वुल्वर कैंसर, स्तन कैंसर ",,,ভলভার ক্যান্সার কি স্তন ক্যান্সারের কারণ হতে পারে?,"ভলভার ক্যান্সার, স্তন ক্যান্সার",,,வல்வர் புற்றுநோய் மார்பக புற்றுநோய்க்கு வழிவகுக்குமா?,"வல்வர் புற்றுநோய், மார்பக புற்றுநோய்க்கு",,,వల్వార్ క్యాన్సర్ రొమ్ము క్యాన్సర్‌కు దారితీస్తుందా?,"వల్వార్ క్యాన్సర్,రొమ్ము క్యాన్సర్‌",,,व्हल्व्हर कर्करोगामुळे स्तनाचा कर्करोग होऊ शकतो?,"व्हल्व्हर कर्करोग,स्तन",,,શું વલ્વર કેન્સર સ્તન કેન્સર તરફ દોરી શકે છે?,"વલ્વર કેન્સર, સ્તન કેન્સર",,,disease
what can cause ererctile disfucntion?,erectile dysfunction,,,इरेक्टाइल डिसफंक्शन का कारण क्या हो सकता है?,इरेक्टाइल डिसफंक्शन,,,ইরেক্টাইল ডিসফানক্শন এর কারণ কি হতে পারে?,ইরেক্টাইল ডিসফানক্শন,,,எர்க்டைல் ​​டிஸ்பக்ந்ஷனை எதை ஏற்படுத்தும்?,எர்க்டைல் ​​டிஸ்பக்ந்ஷனை,,,అంగస్తంభన లోపానికి కారణం ఏమిటి?,అంగస్తంభన లోపం,,,इरेक्टाइल डिस्फक्शन कशामुळे होऊ शकते?,इरेक्टाइल डिस्फक्शन,,,શું ઇરેક્ટાઇલ ડિસફક્શનનું કારણ બની શકે છે?,ઇરેક્ટાઇલ ડિસફંક્શન,,,disease
should i avoid drinking alcohol before a tooth extraction?,,,tooth extraction,क्या मुझे दांत निकालने से पहले शराब पीने से बचना चाहिए?,,,दांत निकालना ,দাঁত তোলার আগে আমার কি অ্যালকোহল পান করা বন্ধ করা উচিত?,,,দাঁত তোলা,ஒரு பல் பிரித்தெடுப்பதற்கு முன்பு நான் மது அருந்துவதைத் தவிர்க்க வேண்டுமா?,,,பல் பிரித்தெடுப்பதற்கு,పంటి వెలికితీతకు ముందు నేను మద్యం సేవించకుండా ఉండాలా?,,,పంటి వెలికితీత,दात काढण्यापूर्वी मी दारू पिणे टाळावे का?,,,दात काढण्या,શું મારે દાંત કાઢતા પહેલા દારૂ પીવાનું ટાળવું જોઈએ?,,,દાંત નિષ્કર્ષણ,other
what is the advantages and disadvantages of a baby girl having o- blood group?,,,,ओ-ब्लड ग्रुप वाली एक बच्ची के फायदे और नुकसान क्या हैं?,,,,ও-ব্লাড গ্রুপের একটি শিশু কন্যার সুবিধা এবং অসুবিধাগুলি কী কী?,,,,ஓ- இரத்தக் குழுவைக் கொண்ட ஒரு பெண் குழந்தையின் நன்மைகள் மற்றும் தீமைகள் என்ன?,,,,ఓ- బ్లడ్ గ్రూపు ఉన్న ఆడబిడ్డ యొక్క ప్రయోజనాలు మరియు నష్టాలు ఏమిటి?,,,,ओ-रक्तगट असलेल्या मुलीचे फायदे आणि तोटे काय आहेत?,,,,ઓ-બ્લડ ગ્રુપ ધરાવતી બાળકીના ફાયદા અને ગેરફાયદા શું છે?,,,,other
can using a vibrator cause urethritis.,urethritis,,,वाइब्रेटर का उपयोग करने से मूत्रमार्गशोथ हो सकता है।,मूत्रमार्गशोथ,,,ভাইব্রেটর ব্যবহার করলে কি ইউরেথ্রাইটিস হতে পারে?,ইউরেথ্রাইটিস,,,ஒரு வைப்ரேட்டரைப் பயன்படுத்துவது சிறுநீர்க்குழாய் அழற்சியை ஏற்படுத்துமா?.,சிறுநீர்க்குழாய் அழற்சி,,,వైబ్రేటర్ ఉపయోగించడం వల్ల యురేథ్రిటిస్ వస్తుందా?,యురేథ్రిటిస్,,,व्हायब्रेटर वापरल्याने मूत्रमार्गाचा दाह होऊ शकतो.,मूत्रमार्गाचा दाह,,,વાઇબ્રેટરનો ઉપયોગ મૂત્રમાર્ગનું કારણ બની શકે છે.,મૂત્રમાર્ગ,,,disease
can carbonated beverages hinder weight loss?,weight loss,,,क्या कार्बोनेटेड पेय वजन घटाने में बाधा डाल सकते हैं?,वजन कम होना ,,,কার্বনেটেড পানীয় কি ওজন হ্রাসে বাধা সৃষ্টি করতে পারে?,ওজন হ্রাসে,,,கார்பனேற்றப்பட்ட பானங்கள் எடை இழப்பைத் தடுக்க முடியுமா?,எடை இழப்பைத்,,,కార్బోనేటేడ్ పానీయాలు బరువు తగ్గడానికి ఆటంకం కలిగిస్తాయా?,బరువు తగ్గడం,,,कार्बोनेटेड पेये वजन कमी करण्यास अडथळा आणू शकतात?,वजन कमी,,,શું કાર્બોનેટેડ પીણાં વજન ઘટાડવામાં અવરોધે છે?,વજનમાં ઘટાડો,,,other
what is a good morning routine for skin care?,,,,त्वचा की देखभाल के लिए एक सुप्रभात दिनचर्या क्या है?,,,,ত্বকের যত্নের জন্য একটি ভাল সকালের অভ্যেস কী?,,,,தோல் பராமரிப்புக்கு ஒரு நல்ல காலை வழக்கம் என்ன?,,,,చర్మ సంరక్షణకు మంచి ఉదయం దినచర్య ఏమిటి?,,,,त्वचेच्या काळजीसाठी सुप्रभात दिनचर्या काय आहे?,,,,ત્વચા સંભાળ માટે ગુડ મોર્નિંગ રૂટિન શું છે?,,,,other
does vitamin b injections raise blood pressure?,raise blood pressure,Vitamin B Injection,,क्या विटामिन बी इंजेक्शन रक्तचाप को बढ़ाता है?,उच्च रक्तचाप ,विटामिन बी इंजेक्शन,,ভিটামিন বি ইনজেকশনগুলি কি রক্তচাপ বাড়ায়?,রক্তচাপ বাড়ায়,ভিটামিন বি ইনজেকশনগুলি,,வைட்டமின் பி ஊசி இரத்த அழுத்தத்தை உயர்த்துமா?,இரத்த அழுத்தம்,வைட்டமின் பி ஊசி,,విటమిన్ బి ఇంజెక్షన్లు రక్తపోటును పెంచుతాయా?,రక్తపోటును పెంచడం,విటమిన్ బి ఇంజెక్షన్లు,,व्हिटॅमिन बी इंजेक्शन्समुळे रक्तदाब वाढतो का?,रक्तदाब वाढ,व्हिटॅमिन बी इंजेक्शन्स,,શું વિટામિન બીના ઇન્જેક્શન બ્લડ પ્રેશર વધારે છે?,બ્લડ પ્રેશર વધારવું,વિટામિન બી ઈન્જેક્શન,,other
can wellbrutin cause me to fail a drug test?,,wellbutrin,drug test,क्या वेलब्यूट्रिन मुझे ड्रग टेस्ट में फेल कर सकता है?,,वेलब्यूट्रिन,दवा परिक्षण ,ওয়েলব্রুটিন কি আমাকে ড্রাগ পরীক্ষায় ব্যর্থ করতে পারে?,,ওয়েলব্রুটিন,ড্রাগ পরীক্ষা,வெல்ப்ரூட்டின் ஒரு மருந்து சோதனையில் தோல்வியடைய முடியுமா?,,வெல்ப்ரூட்டின்,மருந்து பரிசோதனையில்,వెల్ బ్రూటిన్ నేను ఔషధ పరీక్షలో విఫలం కావడానికి కారణమవుతుందా?,,వెల్ బ్రూటిన్,ఔషధ పరీక్ష,वेलब्रुटिन मला औषध चाचणीत अयशस्वी होऊ शकते?,,वेलब्रुटिन,औषध चाचणी,શું વેલબ્રુટિન મને ડ્રગ ટેસ્ટમાં નિષ્ફળ કરી શકે છે?,,વેલબ્યુટ્રિન,,drug
can using shea butter help to lighten acne scars on your face?,Acne marks on face,,shea butter,अपने चेहरे पर मुँहासे के निशान को हल्का करने के लिए शीया मक्खन का उपयोग करने में मदद कर सकते हैं?,चेहरे पर मुँहासे के निशान,,शीया मक्खन,শিয়া মাখন ব্যবহার করা কি আপনার মুখের ব্রণর দাগ হালকা করতে সহায়তা করতে পারে?,ব্রণ,,শিয়া মাখন,உங்கள் முகத்தில் முகப்பரு வடுக்களை குறைக்க ஷியா வெண்ணெய் பயன்படுத்த உதவ முடியுமா?,முகப்பரு வடுக்களை,,ஷியா வெண்ணெய்,మీ ముఖంపై మొటిమల మచ్చలను తేలికపరచడానికి షియా బటర్ సహాయం చేయగలదా?,మొటిమల మచ్చలు,,షియా బటర్,शिया बटर वापरल्याने तुमच्या चेहऱ्यावरील मुरुमांचे डाग हलके होऊ शकतात?,,,शिया बटर,શું શિયા બટરનો ઉપયોગ તમારા ચહેરા પરના ખીલના ડાઘને હળવા કરવામાં મદદ કરી શકે છે?,ચહેરા પર ખીલના નિશાન,,શિયા માખણ,treatment plan
i am fully insured with my wife's company. am i good to go?,,,,मेरा पूरी तरह से अपनी पत्नी की कंपनी के द्वारा बीमा किया गया गया है . क्या ये ठीक है?,,,,আমি আমার স্ত্রীর কোম্পানীর সাথে সম্পূর্ণরূপে বীমা করে রেখেছি। এটা কি ঠিকঠাক?,,,,நான் என் மனைவியின் நிறுவனத்துடன் முழுமையாக காப்பீடு செய்யப்பட்டுள்ளேன். நான் செல்ல நல்லதா?,,,,నా భార్య కంపెనీతో నేను పూర్తిగా బీమా చేయబడ్డాను. నేను వెళ్ళడం మంచిదేనా?,,,,मी माझ्या पत्नीच्या कंपनीचा पूर्णपणे विमा उतरवला आहे. मी जाण्यासाठी योग्य आहे का?,,,,હું મારી પત્નીની કંપનીનો સંપૂર્ણ વીમો ઉતારું છું. શું મારે જવું સારું છે?,,,,other
can a 23 year old female take centrum silver women?,,centrum silver women,,एक २३ वर्षीय महिला सेंट्रम सिल्वर वोमेन ले सकती हैं?,,सेंट्रम सिल्वर वोमेन,,একটি ২৩ বছর বয়সী মহিলা সেন্ট্রাম সিলভার উমেন নিতে পারেন?,,সেন্ট্রাম সিলভার উমেন,,23 வயது பெண் சென்ட்ரம் சில்வர் பெண்களை எடுக்க முடியுமா?,,சென்ட்ரம் சில்வர் பெண்களை ,,౨౩ సంవత్సరాల మహిళ సెంట్రమ్ సిల్వర్ మహిళలను తీసుకోవచ్చా?,,సెంట్రమ్ సిల్వర్ మహిళ,,२३  वर्षांची महिला सेंट्रम सिल्व्हर महिला घेऊ शकते का?,,सेंट्रम सिल्व्हर महिला,,શું ૨૩ વર્ષની સ્ત્રી સેન્ટ્રમ સિલ્વર મહિલાઓ લઈ શકે છે?,,કેન્દ્રીય સિલ્વર મહિલા,,drug
when is it safe to get flu shot after having mononucleosis?,mononucleosis,flu shot,,मोनोन्यूक्लियोसिस होने के बाद फ्लू शॉट प्राप्त करना कब सुरक्षित है?,मोनोनुक्लेओसिस,फ्लू शॉट ,,মনোনিউক্লিওসিস হওয়ার কতদিন পরে ফ্লু শট নেওয়া নিরাপদ?,মনোনিউক্লিওসিস,ফ্লু শট,,மோனோநியூக்ளியோசிஸ் நோய்க்குப் பிறகு காய்ச்சல் ஷாட் பெறுவது எப்போது பாதுகாப்பானது?,மோனோநியூக்ளியோசிஸ்,காய்ச்சல் ஷாட்,,మోనోన్యూక్లియోసిస్ చేయించుకున్న తరువాత ఫ్లూ షాట్ పొందడం ఎప్పుడు సురక్షితం?,మోనోన్యూక్లియోసిస్,ఫ్లూ షాట్,,मोनोन्यूक्लिओसिस झाल्यानंतर फ्लू शॉट घेणे केव्हा सुरक्षित आहे?,मोनोन्यूक्लिओसिस,फ्लू शॉट,,મોનોન્યુક્લિયોસિસ થયા પછી ફ્લૂ શૉટ લેવાનું ક્યારે સલામત છે?,મોનોન્યુક્લિયોસિસ,ફલૂ શોટ,,disease
how does information travel from the brain to the fingers?,,,,जानकारी मस्तिष्क से उंगलियों तक कैसे यात्रा करती है?,,,,মস্তিষ্ক থেকে আঙ্গুলে কিভাবে বার্তা পৌঁছে যায়?,,,,மூளையிலிருந்து விரல்களுக்கு தகவல் எவ்வாறு பயணிக்கிறது?,,,,మెదడు నుండి వేళ్లకు సమాచారం ఎలా ప్రయాణిస్తుంది?,,,,माहिती मेंदूपासून बोटांपर्यंत कशी जाते?,,,,મગજથી આંગળીઓ સુધી માહિતી કેવી રીતે જાય છે?,,,,other
what is the common cold?,common cold,,,सामान्य सर्दी क्या है?,सामान्य सर्दी,,,সর্দিকাশি কী?,সর্দিকাশি,,,ஜலதோஷம் என்றால் என்ன?,ஜலதோஷம் ,,,సాధారణ జలుబు అంటే ఏమిటి?,సాధారణ జలుబు,,,सामान्य सर्दी काय आहे?,सामान्य सर्दी,,,સામાન્ય શરદી શું છે?,સામાન્ય શરદી,,,disease
what tests should i consider having for high blood pressure and rapid heart rate?,"high blood pressure, rapid heart rate",,,उच्च रक्तचाप और तेज़ हृदय गति के लिए मुझे किन परीक्षणों पर विचार करना चाहिए?,"उच्च रक्तचाप, तीव्र हृदय गति",,,উচ্চ রক্তচাপ এবং দ্রুত হৃদস্পন্দনের জন্য আমার কী পরীক্ষা করা উচিত?,"উচ্চ রক্তচাপ, দ্রুত হৃদস্পন্দন",,,உயர் இரத்த அழுத்தம் மற்றும் விரைவான இதய  துடிப்புக்கு என்ன சோதனைகளை நான் கருத்தில் கொள்ள வேண்டும்?,"இரத்த அழுத்தம், விரைவான இதய துடிப்பு",,,అధిక రక్తపోటు మరియు వేగవంతమైన హృదయ స్పందన కోసం నేను ఏ పరీక్షలను పరిగణించాలి?,"అధిక రక్తపోటు, వేగవంతమైన హృదయ స్పందన",,,उच्च रक्तदाब आणि जलद हृदय गती यासाठी मी कोणत्या चाचण्यांचा विचार करावा?,उच्च रक्तदाब जलद हृदय गती,,,હાઈ બ્લડ પ્રેશર અને ઝડપી ધબકારા માટે મારે કયા પરીક્ષણો ધ્યાનમાં લેવા જોઈએ?,"હાઈ બ્લડ પ્રેશર, ઝડપી ધબકારા",,,treatment plan
does lung cancer metastasis to the brain?,lung cancer metastasis,,,क्या फेफड़े का कैंसर मस्तिष्क तक फ़ैल सकता है?,फेफड़े का कैंस,,,ফুসফুসের ক্যান্সার কি মস্তিষ্কে মেস্ট্যাসিস করে?,ফুসফুসের ক্যান্সার,,,நுரையீரல் புற்றுநோய் மூளைக்கு மெட்டாஸ்டாஸிஸ் இருக்கிறதா?,நுரையீரல் புற்றுநோய்,,,ఊపిరితిత్తుల క్యాన్సర్ మెదడుకు వ్యాపిస్తుందా?,ఊపిరితిత్తుల క్యాన్సర్,,,फुफ्फुसाचा कर्करोग मेंदूला मेटास्टेसिस होतो का?,"फुफ्फुसाचा कर्करोग,मेंदू मेटास्टेसिस",,,ફેફસાના કેન્સર મગજમાં મેટાસ્ટેસિસ કરે છે?,ફેફસાના કેન્સર મેટાસ્ટેસિસ,,,disease
what are some inherited (genetic) diseases a dermatologist might treat?,,,,कुछ विरासत में मिली (आनुवांशिक) बीमारियां क्या हैं जिनका एक त्वचा विशेषज्ञ इलाज कर सकता है?,,,,একজন চর্মরোগ বিশেষজ্ঞ চিকিৎসা করেন এমন কিছু উত্তরাধিকারসূত্রে প্রাপ্ত (জিনগত) রোগগুলি কী কী?,,,,ஒரு தோல் மருத்துவர் சிகிச்சையளிக்கக்கூடிய சில மரபு (மரபணு) நோய்கள் யாவை?,,,,చర్మవ్యాధి నిపుణుడు చికిత్స చేయగల కొన్ని వారసత్వ (జన్యు) వ్యాధులు ఏవి?,,,,त्वचाविज्ञानी उपचार करू शकणारे काही अनुवांशिक (अनुवांशिक) रोग कोणते आहेत?,,,,ત્વચારોગ વિજ્ઞાની સારવાર કરી શકે તેવા કેટલાક વારસાગત (આનુવંશિક) રોગો શું છે?,,,,other
i had a flu shot in october is it good for the whole flu season.,,flu shot,,मुझे अक्टूबर में एक फ्लू शॉट लगा था क्या यह पूरे फ्लू के मौसम के लिए ठीक है.,,फ्लू शॉट,,আমি অক্টোবরে একটি ফ্লু শট নিয়েছি । এটা পুরো ফ্লু মরসুমের জন্য কি যথেষ্ট ?,,ফ্লু শট,,"நான் அக்டோபரில் ஒரு ஃப்ளூ ஷாட் எடுத்தேன், இது முழு காய்ச்சல் பருவத்திற்கும் நல்லதா?",,ஃப்ளூ ஷாட்,,"నేను అక్టోబర్ లో ఒక ఫ్లూ షాట్ తీసుకొన్నాను, ఇది మొత్తం ఫ్లూ సీజన్ కు మంచిదా?",,ఫ్లూ షాట్,,"मला ऑक्टोबरमध्ये फ्लूचा शॉट लागला होता, तो संपूर्ण फ्लूच्या हंगामासाठी चांगला आहे का?",,,फ्लूचा शॉट,"મને ઑક્ટોબરમાં ફ્લૂનો શૉટ લાગ્યો હતો, શું તે આખી ફ્લૂ સિઝન માટે સારું છે.",,ફલૂ શોટ,,drug
blood tests done for rheumatoid arthritis positive or normal?,Rheumatoid arthritis,,blood tests,रुमेटीइड गठिया के लिए किए गए रक्त परीक्षण सकारात्मक या सामान्य?,रुमेटीइड गठिया,,रक्त परिक्षण ,রিউমাটয়েড আর্থ্রাইটিসের জন্য রক্ত পরীক্ষা ইতিবাচক বা স্বাভাবিক?,রিউমাটয়েড আর্থ্রাইটিস,,রক্ত পরীক্ষা,முடக்கு வாதத்திற்கு நேர்மறை அல்லது இயல்பான இரத்த பரிசோதனைகள் செய்யப்படுகின்றன?,முடக்கு வாதம்,,இரத்த பரிசோதனைகள்,రుమటాయిడ్ ఆర్థరైటిస్ కోసం చేసిన రక్త పరీక్షలు పాజిటివ్ లేదా నార్మల్ గా ఉన్నాయా?,రుమటాయిడ్ ఆర్థరైటిస్,,రక్త పరీక్షలు,संधिवातासाठी केलेल्या रक्त चाचण्या पॉझिटिव्ह किंवा नॉर्मल?,संधिवात,,रक्त चाचण्या,રુમેટોઇડ સંધિવા માટે કરાયેલ રક્ત પરીક્ષણ હકારાત્મક કે સામાન્ય?,સંધિવાની,,રક્ત પરીક્ષણો,treatment plan
do i need to fast for psa blood test?,,,psa blood test,क्या मुझे पीएसए रक्त परीक्षण के लिए उपवास करने की ज़रूरत है?,,,पी इस ऐ रक्त परिक्षण ,আমার কি পিএসএ রক্ত পরীক্ষার জন্য উপবাস করা দরকার?,,,পিএসএ রক্ত পরীক্ষা,பிஎஸ்ஏ இரத்த பரிசோதனைக்கு நான் உண்ணாவிரதம் நோற்க வேண்டுமா?,,,பிஎஸ்ஏ இரத்த பரிசோதனைக்கு,పిఎస్ఎ రక్త పరీక్ష కోసం నేను ఉపవాసం ఉండాలా?,,,పిఎస్ఎ రక్త పరీక్ష,मला पीएसए रक्त तपासणीसाठी उपवास करण्याची गरज आहे का?,,,पी एस ए  चाचणी,શું મારે પીએસએ રક્ત પરીક્ષણ માટે ઉપવાસ કરવાની જરૂર છે?,,,પીએસએ રક્ત પરીક્ષણ,treatment plan
if you cut you clitoris a lilttle bit does it heal itself,,,,"यदि आप क्लाइटोरिस को थोड़ा काट लें तो क्या ये अपने आप ठीक हो जायेगा ? 
",,,,যদি আপনার ক্লিটোরিস অল্প কেটে যায় তবে তা কি নিজেই সেরে যায়?,,,,க்ளிட்டோரிஸை சிறிதளவு வெட்டினால் அது தானாகவே குணமாகுமா?,,,,"మీరు మీ క్లిటోరిస్‌ను కొద్దిగా కత్తిరించినట్లయితే, అది స్వయంగా నయం అవుతుందా?",,,,जर तुम्ही तुमच्या क्लिटॉरिसला थोडेसे कापले तर ते स्वतःच बरे होते,,,,જો તમે તમારા ભગ્નને થોડું કાપી નાખો છો તો તે પોતે જ મટાડશે,,,,other
does testicle size affect amount of ejaculate?,,,,क्या अंडकोष का आकार स्खलन की मात्रा को प्रभावित करता है?,,,,অণ্ডকোষের আকার কি বীর্যপাতের পরিমাণকে প্রভাবিত করে?,,,,டெஸ்டிகல் அளவு விந்து வெளியேறும் அளவை பாதிக்கிறதா?,,,,వృషణ పరిమాణం స్ఖలన మొత్తాన్ని ప్రభావితం చేస్తుందా?,,,,अंडकोषाच्या आकारामुळे स्खलनाच्या प्रमाणात परिणाम होतो का?,,,,શું અંડકોષનું કદ સ્ખલનની માત્રાને અસર કરે છે?,,,,other
can you take ranitidine with amoxicillin,,"Amoxicillin, Ranitidine",,क्या आप एमोक्सिसिलिन के साथ रेनिटिडीन ले सकते हैं?,,"एमोक्सिसिलिन, रेनिटिडीन",,আপনি কি অ্যামক্সিসিলিনের সঙ্গে র‍্যানটিডাইন নিতে পারেন?,,"অ্যামক্সিসিলিন, র‍্যানটিডাইন",,அமோக்ஸிசிலினுடன் ரானிடிடைன் எடுக்க முடியுமா?,,"அமோக்ஸிசிலினுடன், ரானிடிடைன்",,అమోక్సిసిలిన్ తో రానిటిడిన్ తీసుకోవచ్చా?,,"అమోక్సిసిలిన్ , రానిటిడిన్",,तुम्ही अमोक्सिसिलिनसोबत रॅनिटिडीन घेऊ शकता का?,,अमोक्सिसिलिन रॅनिटिडीन,,શું તમે એમોક્સિસિલિન સાથે રેનિટીડિન લઈ શકો છો?,,"એમોક્સિસિલિન, રેનિટીડિન",,drug
what is a proctocolectomy related to colorectal cancer?,Colorectal cancer,,proctocolectomy,कोलोरेक्टल कैंसर से संबंधित प्रोक्टोकोलेक्टॉमी क्या है?,कोलोरेक्टल कैंसर,,कोलोरेक्टल कैंसर,কলোরেক্টাল ক্যান্সারের সাথে সম্পর্কিত একটি প্রক্টোকলেক্টমি কি?,কোলোরেক্টরাল ক্যান্সার,,প্রক্টোকলেক্টমি,பெருங்குடல் புற்றுநோய் தொடர்பான புரோக்டோகோலெக்டோமி என்றால் என்ன?,பெருங்குடல் புற்றுநோய்,,ரோக்டோகோலெக்டோமி,కొలొరెక్టల్ క్యాన్సర్‌కు సంబంధించిన ప్రోక్టోకోలెక్టమీ అంటే ఏమిటి?,కొలొరెక్టల్ క్యాన్సర్‌,,ప్రోక్టోకోలెక్టమీ,कोलोरेक्टल कर्करोगाशी संबंधित प्रोक्टोकोलेक्टोमी म्हणजे काय?,कोलोरेक्टल कर्करोग,,प्रोक्टोकोलेक्टोमी ,કોલોરેક્ટલ કેન્સર સાથે સંબંધિત પ્રોક્ટોકોલેક્ટોમી શું છે?,કોલોરેક્ટલ કેન્સર,,પ્રોક્ટોકોલેકટમી,treatment plan
is spinal meningitis contagious,spinal meningitis,,,स्पाइनल मैनिंजाइटिस संक्रामक है?,स्पाइनल मैनिंजाइटिस,,,স্পাইনাল মেনিনজাইটিস সংক্রামক,স্পাইনাল মেনিনজাইটিস,,,முதுகெலும்பு மூளைக்காய்ச்சல் தொற்றிக்கொள்ளுமா?,முதுகெலும்பு மூளைக்காய்ச்சல்,,,వెన్నెముక పటలశోథ అనేది అంటువ్యాధా?,వెన్నెముక పటలశోథ,,,स्पाइनल मेनिंजायटीस संसर्गजन्य आहे,स्पाइनल मेनिंजायटीस,,,સ્પાઇનલ મેનિન્જાઇટિસ ચેપી છે,સ્પાઇનલ મેનિન્જાઇટિસ,,,disease
