question_english,disease_english,drug_english,treatment_english,question_hindi,disease_hindi,drug_hindi,treatment_hindi,question_bengali,disease_bengali,drug_bengali,treatment_bengali,question_tamil,disease_tamil,drug_tamil,treatment_tamil,question_telugu,disease_telugu,drug_telugu,treatment_telugu,question_marathi,disease_marathi,drug_marathi,treatment_marathi,question_gujarati,disease_gujarati,drug_gujarati,treatment_gujarati,Manual_Intent
is clindamycin effective in treating syphilis?,syphilis,clindamycin,,क्या सिफलिस के इलाज में क्लिंडामाइसिन प्रभावी है?,सिफलिस,क्लिंडामाइसिन,,সিফিলিসের চিকিৎসায় কি ক্লিন্ডামাইসিন কার্যকর?,সিফিলিস,ক্লিন্ডামাইসিন,,சிபிலிஸுக்கு சிகிச்சையளிப்பதில் கிளிண்டமைசின் பயனுள்ளதா?,சிபிலிஸு,கிளிண்டமைசின்,,సిఫిలిస్ చికిత్సలో క్లిండమైసిన్ ప్రభావవంతంగా ఉందా?,సిఫిలిస్,క్లిండమైసిన్,,क्लिंडामायसिन सिफिलीसच्या उपचारात प्रभावी आहे का?,सिफिलीस,क्लिंडामायसिन,,શું ક્લિન્ડામિસિન સિફિલિસની સારવારમાં અસરકારક છે?,સિફિલિસ,ક્લિન્ડામિસિન,,drug
can valtrex be used to treat lichen schlrosis,lichen sclerosus,valtrax,,क्या वाल्ट्रेक्स का उपयोग लाइकेन स्क्लेरोसस के इलाज के लिए किया जा सकता है ?,लाइकेन स्क्लेरोसस,वाल्ट्रेक्स,,লিচেন শ্লোরোসিসের চিকিত্সার জন্য ভাল্ট্রেক্স ব্যবহার করা যেতে পারে?,লিচেন শ্লোরোসিস,ভাল্ট্রেক্স,,லிச்சென் ஸ்க்லரோசிஸுக்கு சிகிச்சையளிக்க வால்ட்ரெக்ஸ் பயன்படுத்தப்படலாம்,லிச்சென் ஸ்க்லரோசிஸுக்கு,வால்ட்ரெக்ஸ் ,,లైకెన్ స్క్రోసిస్ చికిత్సకు వాల్ట్రెక్స్ ను ఉపయోగించవచ్చా?,లైకెన్ స్క్రోసిస్,వాల్ట్రెక్స్,,व्हॅल्ट्रेक्सचा उपयोग लाइकेन श्लेरोसिसवर उपचार करण्यासाठी केला जाऊ शकतो,लाइकेन श्लेरोसिस,व्हॅल्ट्रेक्स,,વાલટ્રેક્સનો ઉપયોગ લિકેન સ્ક્લરોસિસની સારવાર માટે થઈ શકે છે,લિકેન સ્ક્લેરોસસ,વાલ્ટ્રેક્સ,,drug
can lisinopril affect home pregnancy test results?,,lisinopril,home pregnency test,क्या लिसिनोप्रिल घरेलू गर्भावस्था परीक्षण के परिणामों को प्रभावित कर सकता है?,,लिसिनोप्रिल,घर गर्भावस्था परीक्षण,লিসিনোপ্রিল কি হোম গর্ভাবস্থা পরীক্ষার ফলাফল প্রভাবিত করতে পারে?,,লিসিনোপ্রিল,হোম গর্ভাবস্থা পরীক্ষা,லிசினோபிரில் வீட்டு கர்ப்ப சோதனை முடிவுகளை பாதிக்க முடியுமா?,,லிசினோபிரில்,வீட்டு கர்ப்ப சோதனை,లిసినోప్రిల్ ఇంటి గర్భధారణ పరీక్ష ఫలితాలను ప్రభావితం చేయగలదా?,,లిసినోప్రిల్,గర్భధారణ పరీక్ష,लिसिनोप्रिल घरगुती गर्भधारणा चाचणी परिणामांवर परिणाम करू शकते?,,लिसिनोप्रिल,गर्भधारणा चाचणी,શું લિસિનોપ્રિલ હોમ ગર્ભાવસ્થા પરિક્ષણના પરિણામોને અસર કરી શકે છે?,,લિસિનોપ્રિલ,ગર્ભાવસ્થા પરિક્ષણ,drug
can douching after sex stop me from getting pregnant?,pregnant,,,क्या सम्भोग के बाद डाउचिंग मुझे गर्भवती होने से रोक सकता हैं?,गर्भवती,,,সেক্সের পরে ডাউচিং কি আমাকে গর্ভবতী হওয়া থেকে বিরত রাখতে পারে?,গর্ভবতী,,,உடலுறவுக்குப் பிறகு டச்சிங் செய்வதால் நான் கர்ப்பமாவதைத் தடுக்க முடியுமா?,கர்ப்பமாவதைத்,,,రతి తరువాత పిచికారీ చేయడం నన్ను గర్భవతిని చేయకుండా ఆపగలదా?,గర్భవతి,,,सेक्स नंतर डोचिंग केल्याने मला गरोदर होण्यापासून थांबता येते का?,,,,શું સેક્સ પછી ડચિંગ મને ગર્ભવતી થવાથી રોકી શકે છે?,,,,other
at what age do children begin to get their adult teeth?,,,,किस उम्र में बच्चों को अपने वयस्क दांत मिलना शुरू हो जाते हैं?,,,,কোন বয়সে বাচ্চারা তাদের পূর্ণবয়স্ক দাঁত পেতে শুরু করে?,,,,எந்த வயதில் குழந்தைகள் தங்கள் வயதுவந்த பற்களைப் பெறத் தொடங்குகிறார்கள்?,,,,పిల్లలు ఏ వయస్సులో తమ వయోజన దంతాలను పొందడం ప్రారంభిస్తారు?,,,,कोणत्या वयात मुलांना त्यांचे प्रौढ दात येणे सुरू होते?,,,,કઈ ઉંમરે બાળકો તેમના પુખ્ત દાંત મેળવવાનું શરૂ કરે છે?,,,,other
is the risk for heart disease reduced by lowering cholesterol?,"Cholesterol, heart disease",,,क्या कोलेस्ट्रॉल को कम करने से हृदय रोग का खतरा कम हो जाता है?,"कोलेस्ट्रॉल, हृदय रोग",,,কোলেস্টেরল কমানোর মাধ্যমে কি হৃদরোগের ঝুঁকি কমে যায়?,"হৃদরোগের, কোলেস্টেরল",,,கொழுப்பைக் குறைப்பதன் மூலம் இதய நோய்க்கான ஆபத்து குறைக்கப்படுகிறதா?,"கொழுப்பைக், இதய நோய்க்கான",,,కొలెస్ట్రాల్‌ను తగ్గించడం ద్వారా గుండె జబ్బులు వచ్చే ప్రమాదం తగ్గుతుందా?,"కొలెస్ట్రాల్‌, గుండె జబ్బులు",,,कोलेस्टेरॉल कमी केल्याने हृदयविकाराचा धोका कमी होतो का?,"कोलेस्टेरॉल,हृदयविकार",,,શું કોલેસ્ટ્રોલ ઘટાડવાથી હૃદયરોગનું જોખમ ઓછું થાય છે?,"કોલેસ્ટ્રોલ, હૃદય રોગ",,,other
is expired birth control still effective?,,,birth control,क्या एक्सपायर्ड जन्म नियंत्रण अभी भी प्रभावी है?,,,जन्म नियंत्रण,মেয়াদোত্তীর্ণ জন্ম নিয়ন্ত্রণের ওষুধ কি এখনও কার্যকর?,,,জন্ম নিয়ন্ত্রণের ওষুধ,"பிறப்பு கட்டுப்பாடு காலாவதியாகிவிட்டால், அதன் பிறகும் பயன்படுத்துவது பயனுள்ளதாக இருக்குமா?",,,பிறப்பு கட்டுப்பாடு,గడువు తీరిన జనన నియంత్రణ ఇంకా ప్రభావవంతంగా ఉంటుందా ?,,,జనన నియంత్రణ,कालबाह्य झालेले जन्म नियंत्रण अद्याप प्रभावी आहे का?,,,जन्म नियंत्रण,શું સમાપ્ત થયેલ જન્મ નિયંત્રણ હજુ પણ અસરકારક છે?,,,જન્મ નિયંત્રણ,other
can i drink milk or orange juice with sinusitis?,sinusitis,,,क्या मैं साइनसाइटिस के साथ दूध या संतरे का रस पी सकता हूँ?,साइनसाइटिस,,,আমি কি সাইনোসাইটিসের সাথে দুধ বা কমলার রস পান করতে পারি?,সাইনোসাইটিস,,,சைனசிடிஸுடன்  நான் பால் அல்லது ஆரஞ்சு சாறு குடிக்கலாமா?,சைனசிடிஸ்,,,నేను సైనసైటిస్‌తో పాలు లేదా నారింజ రసం తాగవచ్చా?,సైనసైటిస్‌,,,सायनुसायटिस सह मी दूध किंवा संत्र्याचा रस पिऊ शकतो का?,सायनुसायटिस,,,શું હું સાઇનસાઇટિસ સાથે દૂધ અથવા નારંગીનો રસ પી શકું?,સાઇનસાઇટિસ,,,other
does soaking in epsom salts help to draw out excess lactic acid from muscles?,excess lactic acid,epsom salts,,क्या एप्सम लवण में भिगोने से मांसपेशियों से अतिरिक्त लैक्टिक एसिड को बाहर निकालने में मदद मिलती है?,अतिरिक्त लैक्टिक एसिड,एप्सोम नमक,,এপসোম সল্টগুলিতে ভিজিয়ে রাখা কি পেশী থেকে অতিরিক্ত ল্যাকটিক অ্যাসিড বের করতে সহায়তা করে?,অতিরিক্ত ল্যাকটিক অ্যাসিড,এপসোম সল্টগুলিতে,,எப்சம் உப்புகளில் ஊறவைப்பது தசைகளிலிருந்து அதிகப்படியான லாக்டிக் அமிலத்தை வெளியேற்ற உதவுகிறதா?,அதிகப்படியான லாக்டிக் அமிலத்தை,எப்சம் உப்பு,,ఎప్సమ్ లవణాలలో నానబెట్టడం కండరాల నుండి అదనపు లాక్టిక్ ఆమ్లాన్ని బయటకు తీయడంలో సహాయపడుతుందా?,అదనపు లాక్టిక్ ఆమ్లా,ఎప్సమ్ లవణాలు,,एप्सम क्षारांमध्ये भिजल्याने स्नायूंमधून अतिरिक्त लॅक्टिक ऍसिड बाहेर काढण्यास मदत होते का?,अतिरिक्त लॅक्टिक ऍसिड,एप्सम क्षार,,શું એપ્સમ ક્ષારમાં પલાળવાથી સ્નાયુઓમાંથી વધારાનું લેક્ટિક એસિડ બહાર કાઢવામાં મદદ મળે છે?,,એપ્સમ ક્ષાર,,other
can saline solution be used in nostrils while there is greenish discharge?,greenish discharge,saline solution,,हरे रंग का स्राव होने पर क्या नथुने में नमकीन घोल का उपयोग किया जा सकता है?,हरा-भरा निर्वहन,नमकीन घोल,,সবুজ স্রাব থাকলে কি নাকের ডগায় স্যালাইন দ্রবণ ব্যবহার করা যেতে পারে?,সবুজ স্রাব,নাকের ডগায় স্যালাইন,,பச்சை நிற நீர் வெளியேற்றம் இருக்கும்போது மூக்கில் உப்புக் கரைசலை பயன்படுத்த முடியுமா?,பச்சை நிற நீர் வெளியேற்றம்,உப்புக் கரைசலை,,ఆకుపచ్చని ఉత్సర్గ ఉన్నప్పుడు సెలైన్ ద్రావణాన్ని నాసికా రంధ్రాల్లో ఉపయోగించవచ్చా?,ఆకుపచ్చని ఉత్సర్గ,సెలైన్ ద్రావణం,,हिरवट स्त्राव असताना नाकपुड्यात खारट द्रावण वापरता येईल का?,हिरवट स्त्राव,खारट द्रावण,,જ્યારે લીલોતરી સ્રાવ હોય ત્યારે શું નસકોરામાં ખારા દ્રાવણનો ઉપયોગ કરી શકાય?,લીલોતરી સ્રાવ,ખારા ઉકેલ,,other
is kidney dialysis covered by medicare?,,,dialysis,क्या किडनी डायलिसिस मेडिकेयर द्वारा कवर किया जाता है?,,,डायलिसिस,মেডিকেয়ার কি কিডনি ডায়ালিসিস কভার করে?,,,ডায়ালিসিস,சிறுநீரக டயாலிசிஸ் மெடிகேர் மூலம் சேர்க்கப்பட்டுள்ளதா?,,,டயாலிசிஸ்,మూత్రపిండాల డయలిసిస్ మెడికేర్ ద్వారా కవర్ చేయబడిందా?,,,మూత్రపిండాల డయలిసిస్,किडनी डायलिसीस हे औषधोपचारात समाविष्ट आहे का?,,,डायलिसीस,શું કિડની ડાયાલિસિસ મેડિકેર દ્વારા આવરી લેવામાં આવે છે?,,,ડાયાલિસિસ,other
i am currently 64. do i have to sign up for obamacare?,,,Obamacare,मैं वर्तमान में ६४ साल का हूं। क्या मुझे ओबमाकारे के लिए साइन अप करना चाहिए ?,,,ओबामाकेयर,বর্তমানে আমার বয়স ৬৪। আমাকে কি ওবামাকেয়ারের জন্য সাইন আপ করতে হবে?,,,ওবামাকেয়ার,"எனக்கு தற்போது வயது 64. நான் ""ஒபாமாகேர்"" இல் பதிவு செய்ய வேண்டுமா?",,,ஒபாமாகேர்,ప్రస్తుతం నా వయసు ౬౪ ఏళ్లు. నేను ఒబామాకేర్ కోసం సైన్ అప్ చేయాలా?,,,ఒబామాకేర్,मी सध्या ६४ वर्षांचा आहे. मला ओबामाकेअरसाठी साइन अप करावे लागेल का?,,,ओबामाकेअर,હું હાલમાં ૬૪ વર્ષનો છું. શું મારે ઓબામાકેર માટે સાઇન અપ કરવું પડશે?,,,ઓબામાકેર,other
if i have already had the flu this season should i get a flu shot?,flu,flu shot,,अगर मुझे पहले से ही इस मौसम में फ्लू था तो क्या मुझे एक फ्लू शॉट मिल जाना चाहिए?,फ्लू,फ्लू शॉट,,যদি আমি ইতিমধ্যে এই মৌসুমে ফ্লু হয়ে থাকে তবে আমার কি ফ্লু শট নেওয়া উচিত?,ফ্লু,ফ্লু শট,,நான் ஏற்கனவே இந்த பருவத்தில் காய்ச்சல் இருந்திருந்தால் நான் ஒரு காய்ச்சல் ஷாட் பெற வேண்டும்?,காய்ச்சல் ,காய்ச்சல் ஷாட்,,"ఈ ఋతువు లో నాకు ఇప్పటికే ఫ్లూ ఉన్నట్లయితే, నేను ఫ్లూ షాట్ పొందాలా?  ",ఫ్లూ,ఫ్లూ షాట్,,मला या हंगामात फ्लू झाला असेल तर मला फ्लूचा शॉट घ्यावा का?,फ्लू,फ्लूचा शॉट,,જો આ સિઝનમાં મને પહેલેથી જ ફ્લૂ થયો હોય તો શું મારે ફ્લૂનો શૉટ લેવો જોઈએ?,ફ્લૂ,ફલૂ શોટ,,other
